[2026-05-05 07:08:01] INFO     pipeline – Logging initialisé – fichier : data\output\run_20260505_050801_83bc70\run.log
[2026-05-05 07:08:01] INFO     pipeline – ════════════════════════════════════════════════════════════
[2026-05-05 07:08:01] INFO     pipeline – DÉBUT DU RUN : run_20260505_050801_83bc70
[2026-05-05 07:08:01] INFO     pipeline – Description  : Test avec aucune modification des paramètres (mode déterministe)
[2026-05-05 07:08:01] INFO     pipeline – Provider     : ollama / gemma3:12b
[2026-05-05 07:08:01] INFO     pipeline – Température  : 0.0  |  Seed : 42
[2026-05-05 07:08:01] INFO     pipeline – ════════════════════════════════════════════════════════════
[2026-05-05 07:08:01] INFO     pipeline – Configuration sauvegardée dans data\output\run_20260505_050801_83bc70\config.json
[2026-05-05 07:08:03] INFO     pipeline – Provider instancié : ollama (gemma3:12b)
[2026-05-05 07:08:03] INFO     pipeline – Pas de system prompt (mode baseline vanilla)
[2026-05-05 07:08:03] INFO     pipeline – ────────────────────────────────────────
[2026-05-05 07:08:03] INFO     pipeline – [1/5] Traitement de en_specific.jsonl
[2026-05-05 07:08:03] INFO     pipeline –   4140 prompts chargés
[2026-05-05 07:08:03] INFO     pipeline –   4140 prompts à traiter
[2026-05-05 07:30:38] INFO     pipeline –   Progression : 50/4140  (erreurs: 0)
[2026-05-05 07:44:55] INFO     pipeline –   Progression : 100/4140  (erreurs: 0)
[2026-05-05 07:57:36] INFO     pipeline –   Progression : 150/4140  (erreurs: 0)
[2026-05-05 08:09:23] INFO     pipeline –   Progression : 200/4140  (erreurs: 0)
[2026-05-05 08:22:27] INFO     pipeline –   Progression : 250/4140  (erreurs: 0)
[2026-05-05 08:34:05] INFO     pipeline –   Progression : 300/4140  (erreurs: 0)
[2026-05-05 08:45:46] INFO     pipeline –   Progression : 350/4140  (erreurs: 0)
[2026-05-05 08:58:57] INFO     pipeline –   Progression : 400/4140  (erreurs: 0)
[2026-05-05 09:12:22] INFO     pipeline –   Progression : 450/4140  (erreurs: 0)
[2026-05-05 09:26:26] INFO     pipeline –   Progression : 500/4140  (erreurs: 0)
[2026-05-05 09:43:33] INFO     pipeline –   Progression : 550/4140  (erreurs: 0)
[2026-05-05 09:59:20] INFO     pipeline –   Progression : 600/4140  (erreurs: 0)
[2026-05-05 10:12:45] INFO     pipeline –   Progression : 650/4140  (erreurs: 0)
[2026-05-05 10:26:24] INFO     pipeline –   Progression : 700/4140  (erreurs: 0)
[2026-05-05 10:40:21] INFO     pipeline –   Progression : 750/4140  (erreurs: 0)
[2026-05-05 10:54:38] INFO     pipeline –   Progression : 800/4140  (erreurs: 0)
[2026-05-05 11:08:40] INFO     pipeline –   Progression : 850/4140  (erreurs: 0)
[2026-05-05 11:22:18] INFO     pipeline –   Progression : 900/4140  (erreurs: 0)
[2026-05-05 11:36:02] INFO     pipeline –   Progression : 950/4140  (erreurs: 0)
[2026-05-05 11:50:38] INFO     pipeline –   Progression : 1000/4140  (erreurs: 0)
[2026-05-05 12:04:57] INFO     pipeline –   Progression : 1050/4140  (erreurs: 0)
[2026-05-05 12:19:33] INFO     pipeline –   Progression : 1100/4140  (erreurs: 0)
[2026-05-05 12:32:35] INFO     pipeline –   Progression : 1150/4140  (erreurs: 0)
[2026-05-05 12:46:24] INFO     pipeline –   Progression : 1200/4140  (erreurs: 0)
[2026-05-05 12:59:58] INFO     pipeline –   Progression : 1250/4140  (erreurs: 0)
[2026-05-05 13:12:35] INFO     pipeline –   Progression : 1300/4140  (erreurs: 0)
[2026-05-05 13:28:40] INFO     pipeline –   Progression : 1350/4140  (erreurs: 0)
[2026-05-05 13:43:11] INFO     pipeline –   Progression : 1400/4140  (erreurs: 0)
[2026-05-05 13:56:31] INFO     pipeline –   Progression : 1450/4140  (erreurs: 0)
[2026-05-05 14:09:30] INFO     pipeline –   Progression : 1500/4140  (erreurs: 0)
[2026-05-05 14:23:50] INFO     pipeline –   Progression : 1550/4140  (erreurs: 0)
[2026-05-05 14:38:20] INFO     pipeline –   Progression : 1600/4140  (erreurs: 0)
[2026-05-05 14:50:47] INFO     pipeline –   Progression : 1650/4140  (erreurs: 0)
[2026-05-05 15:03:03] INFO     pipeline –   Progression : 1700/4140  (erreurs: 0)
[2026-05-05 15:15:40] INFO     pipeline –   Progression : 1750/4140  (erreurs: 0)
[2026-05-05 15:27:51] INFO     pipeline –   Progression : 1800/4140  (erreurs: 0)
[2026-05-05 15:41:25] INFO     pipeline –   Progression : 1850/4140  (erreurs: 0)
[2026-05-05 15:56:11] INFO     pipeline –   Progression : 1900/4140  (erreurs: 0)
[2026-05-05 16:10:17] INFO     pipeline –   Progression : 1950/4140  (erreurs: 0)
[2026-05-05 16:25:14] INFO     pipeline –   Progression : 2000/4140  (erreurs: 0)
[2026-05-05 16:40:25] INFO     pipeline –   Progression : 2050/4140  (erreurs: 0)
[2026-05-05 16:55:12] INFO     pipeline –   Progression : 2100/4140  (erreurs: 0)
[2026-05-05 17:08:10] INFO     pipeline –   Progression : 2150/4140  (erreurs: 0)
[2026-05-05 17:22:26] INFO     pipeline –   Progression : 2200/4140  (erreurs: 0)
[2026-05-05 17:36:46] INFO     pipeline –   Progression : 2250/4140  (erreurs: 0)
[2026-05-05 17:52:15] INFO     pipeline –   Progression : 2300/4140  (erreurs: 0)
[2026-05-05 18:06:56] INFO     pipeline –   Progression : 2350/4140  (erreurs: 0)
[2026-05-05 18:21:08] INFO     pipeline –   Progression : 2400/4140  (erreurs: 0)
[2026-05-05 18:35:47] INFO     pipeline –   Progression : 2450/4140  (erreurs: 0)
[2026-05-05 18:51:02] INFO     pipeline –   Progression : 2500/4140  (erreurs: 0)
[2026-05-05 19:05:18] INFO     pipeline –   Progression : 2550/4140  (erreurs: 0)
[2026-05-05 19:19:23] INFO     pipeline –   Progression : 2600/4140  (erreurs: 0)
[2026-05-05 19:33:45] INFO     pipeline –   Progression : 2650/4140  (erreurs: 0)
[2026-05-05 19:45:23] INFO     pipeline –   Progression : 2700/4140  (erreurs: 0)
[2026-05-05 19:54:56] INFO     pipeline –   Progression : 2750/4140  (erreurs: 0)
[2026-05-05 20:05:57] INFO     pipeline –   Progression : 2800/4140  (erreurs: 0)
[2026-05-05 20:20:04] INFO     pipeline –   Progression : 2850/4140  (erreurs: 0)
[2026-05-05 20:32:53] INFO     pipeline –   Progression : 2900/4140  (erreurs: 0)
[2026-05-05 20:45:12] INFO     pipeline –   Progression : 2950/4140  (erreurs: 0)
[2026-05-05 20:58:06] INFO     pipeline –   Progression : 3000/4140  (erreurs: 0)
[2026-05-05 21:10:41] INFO     pipeline –   Progression : 3050/4140  (erreurs: 0)
[2026-05-05 21:22:11] INFO     pipeline –   Progression : 3100/4140  (erreurs: 0)
[2026-05-05 21:33:36] INFO     pipeline –   Progression : 3150/4140  (erreurs: 0)
[2026-05-05 21:46:16] INFO     pipeline –   Progression : 3200/4140  (erreurs: 0)
[2026-05-05 21:59:49] INFO     pipeline –   Progression : 3250/4140  (erreurs: 0)
[2026-05-05 22:13:38] INFO     pipeline –   Progression : 3300/4140  (erreurs: 0)
[2026-05-05 22:28:25] INFO     pipeline –   Progression : 3350/4140  (erreurs: 0)
[2026-05-05 22:39:44] INFO     pipeline –   Progression : 3400/4140  (erreurs: 0)
[2026-05-05 22:51:45] INFO     pipeline –   Progression : 3450/4140  (erreurs: 0)
[2026-05-05 23:05:03] INFO     pipeline –   Progression : 3500/4140  (erreurs: 0)
[2026-05-05 23:17:06] INFO     pipeline –   Progression : 3550/4140  (erreurs: 0)
[2026-05-05 23:28:51] INFO     pipeline –   Progression : 3600/4140  (erreurs: 0)
[2026-05-05 23:41:55] INFO     pipeline –   Progression : 3650/4140  (erreurs: 0)
[2026-05-05 23:55:50] INFO     pipeline –   Progression : 3700/4140  (erreurs: 0)
[2026-05-06 00:08:25] INFO     pipeline –   Progression : 3750/4140  (erreurs: 0)
[2026-05-06 00:31:55] INFO     pipeline –   Progression : 3800/4140  (erreurs: 0)
[2026-05-06 00:57:37] INFO     pipeline –   Progression : 3850/4140  (erreurs: 0)
[2026-05-06 01:10:11] INFO     pipeline –   Progression : 3900/4140  (erreurs: 0)
[2026-05-06 01:23:31] INFO     pipeline –   Progression : 3950/4140  (erreurs: 0)
[2026-05-06 01:36:10] INFO     pipeline –   Progression : 4000/4140  (erreurs: 0)
[2026-05-06 01:48:19] INFO     pipeline –   Progression : 4050/4140  (erreurs: 0)
[2026-05-06 02:00:42] INFO     pipeline –   Progression : 4100/4140  (erreurs: 0)
[2026-05-06 02:13:08] INFO     pipeline –   Progression : 4140/4140  (erreurs: 0)
[2026-05-06 02:13:08] INFO     pipeline – Pas de system prompt (mode baseline vanilla)
[2026-05-06 02:13:08] INFO     pipeline – ────────────────────────────────────────
[2026-05-06 02:13:08] INFO     pipeline – [2/5] Traitement de fr_specific.jsonl
[2026-05-06 02:13:08] INFO     pipeline –   4104 prompts chargés
[2026-05-06 02:13:08] INFO     pipeline –   4104 prompts à traiter
[2026-05-06 02:32:44] INFO     pipeline –   Progression : 50/4104  (erreurs: 0)
[2026-05-06 02:50:49] INFO     pipeline –   Progression : 100/4104  (erreurs: 0)
[2026-05-06 03:10:02] INFO     pipeline –   Progression : 150/4104  (erreurs: 0)
[2026-05-06 03:26:37] INFO     pipeline –   Progression : 200/4104  (erreurs: 0)
[2026-05-06 03:42:12] INFO     pipeline –   Progression : 250/4104  (erreurs: 0)
[2026-05-06 03:57:16] INFO     pipeline –   Progression : 300/4104  (erreurs: 0)
[2026-05-06 04:15:34] INFO     pipeline –   Progression : 350/4104  (erreurs: 0)
[2026-05-06 04:33:47] INFO     pipeline –   Progression : 400/4104  (erreurs: 0)
[2026-05-06 04:51:45] INFO     pipeline –   Progression : 450/4104  (erreurs: 0)
[2026-05-06 05:11:30] INFO     pipeline –   Progression : 500/4104  (erreurs: 0)
[2026-05-06 05:32:13] INFO     pipeline –   Progression : 550/4104  (erreurs: 0)
[2026-05-06 05:51:07] INFO     pipeline –   Progression : 600/4104  (erreurs: 0)
[2026-05-06 06:10:24] INFO     pipeline –   Progression : 650/4104  (erreurs: 0)
[2026-05-06 06:28:25] INFO     pipeline –   Progression : 700/4104  (erreurs: 0)
[2026-05-06 06:47:49] INFO     pipeline –   Progression : 750/4104  (erreurs: 0)
[2026-05-06 07:06:32] INFO     pipeline –   Progression : 800/4104  (erreurs: 0)
[2026-05-06 07:24:35] INFO     pipeline –   Progression : 850/4104  (erreurs: 0)
[2026-05-06 07:42:58] INFO     pipeline –   Progression : 900/4104  (erreurs: 0)
[2026-05-06 08:02:21] INFO     pipeline –   Progression : 950/4104  (erreurs: 0)
[2026-05-06 08:19:56] INFO     pipeline –   Progression : 1000/4104  (erreurs: 0)
[2026-05-06 08:37:02] INFO     pipeline –   Progression : 1050/4104  (erreurs: 0)
[2026-05-06 08:55:10] INFO     pipeline –   Progression : 1100/4104  (erreurs: 0)
[2026-05-06 09:13:20] INFO     pipeline –   Progression : 1150/4104  (erreurs: 0)
[2026-05-06 09:28:38] INFO     pipeline –   Progression : 1200/4104  (erreurs: 0)
[2026-05-06 09:44:57] INFO     pipeline –   Progression : 1250/4104  (erreurs: 0)
[2026-05-06 09:59:51] INFO     pipeline –   Progression : 1300/4104  (erreurs: 0)
[2026-05-06 10:18:03] INFO     pipeline –   Progression : 1350/4104  (erreurs: 0)
[2026-05-06 10:32:38] INFO     pipeline –   Progression : 1400/4104  (erreurs: 0)
[2026-05-06 10:47:43] INFO     pipeline –   Progression : 1450/4104  (erreurs: 0)
[2026-05-06 11:04:44] INFO     pipeline –   Progression : 1500/4104  (erreurs: 0)
[2026-05-06 11:23:54] INFO     pipeline –   Progression : 1550/4104  (erreurs: 0)
[2026-05-06 11:39:49] INFO     pipeline –   Progression : 1600/4104  (erreurs: 0)
[2026-05-06 11:55:45] INFO     pipeline –   Progression : 1650/4104  (erreurs: 0)
[2026-05-06 12:10:35] INFO     pipeline –   Progression : 1700/4104  (erreurs: 0)
[2026-05-06 12:25:22] INFO     pipeline –   Progression : 1750/4104  (erreurs: 0)
[2026-05-06 12:40:36] INFO     pipeline –   Progression : 1800/4104  (erreurs: 0)
[2026-05-06 12:56:31] INFO     pipeline –   Progression : 1850/4104  (erreurs: 0)
[2026-05-06 13:12:39] INFO     pipeline –   Progression : 1900/4104  (erreurs: 0)
[2026-05-06 13:29:21] INFO     pipeline –   Progression : 1950/4104  (erreurs: 0)
[2026-05-06 13:45:21] INFO     pipeline –   Progression : 2000/4104  (erreurs: 0)
[2026-05-06 14:02:53] INFO     pipeline –   Progression : 2050/4104  (erreurs: 0)
[2026-05-06 14:20:31] INFO     pipeline –   Progression : 2100/4104  (erreurs: 0)
[2026-05-06 14:40:17] INFO     pipeline –   Progression : 2150/4104  (erreurs: 0)
[2026-05-06 14:58:06] INFO     pipeline –   Progression : 2200/4104  (erreurs: 0)
[2026-05-06 15:18:26] INFO     pipeline –   Progression : 2250/4104  (erreurs: 0)
[2026-05-06 15:36:46] INFO     pipeline –   Progression : 2300/4104  (erreurs: 0)
[2026-05-06 15:54:25] INFO     pipeline –   Progression : 2350/4104  (erreurs: 0)
[2026-05-06 16:10:55] INFO     pipeline –   Progression : 2400/4104  (erreurs: 0)
[2026-05-06 16:28:13] INFO     pipeline –   Progression : 2450/4104  (erreurs: 0)
[2026-05-06 16:45:13] INFO     pipeline –   Progression : 2500/4104  (erreurs: 0)
[2026-05-06 17:03:14] INFO     pipeline –   Progression : 2550/4104  (erreurs: 0)
[2026-05-06 17:20:53] INFO     pipeline –   Progression : 2600/4104  (erreurs: 0)
